web_scraper_order,web_scraper_start_url,type_habits,Prix,adresse,image_lien
"1767640045-1","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe femme","9 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-femme-3824404"
"1767640045-2","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robes femme","7 500CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robes-femme-3822662"
"1767640045-3","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe et ceinture","6 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-et-ceinture-3820930"
"1767640045-4","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robes été","8 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robes-ete-3820743"
"1767640045-5","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Makeba femme","8 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/makeba-femme-3820319"
"1767640045-6","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe femme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-femme-3816886"
"1767640045-7","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Tenue femme","Prix sur demande","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/tenue-femme-3815773"
"1767640045-8","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Ensemble Hijab femme","23 500CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/ensemble-hijab-femme-3815162"
"1767640045-9","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Vêtement femme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/vetement-femme-3814856"
"1767640045-10","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe femme","5 500CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-femme-3814419"
"1767640045-11","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe femme","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-femme-3777169"
"1767640045-12","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Habits femme","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/habits-femme-3777151"
"1767640045-13","https://sn.coinafrique.com/categorie/vetements-femme?page=30","T-shirt","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/t-shirt-3813612"
"1767640045-14","https://sn.coinafrique.com/categorie/vetements-femme?page=30","T-shirt","Prix sur demande","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/t-shirt-3813609"
"1767640045-15","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe coton batik","7 000CFA","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-coton-batik-3811463"
"1767640045-16","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Ensemble femme","12 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/ensemble-femme-3770528"
"1767640045-17","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Ensemble femme","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/ensemble-femme-3770526"
"1767640045-18","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe","7 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-3769200"
"1767640045-19","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Vêtements femme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/vetements-femme-3808018"
"1767640045-20","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Chemisier Primark","2 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/chemisier-primark-3806296"
"1767640045-21","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Jeans Carrera","5 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/jeans-carrera-3806283"
"1767640045-22","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Vêtements femme","30 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/vetements-femme-3765490"
"1767640045-23","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Ensemble bas large et chemise","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/ensemble-bas-large-et-chemise-3804039"
"1767640045-24","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe femme","5 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-femme-3802012"
"1767640045-25","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Vêtement femme","6 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/vetement-femme-3801990"
"1767640045-26","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Ensemble femme","5 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/ensemble-femme-3801401"
"1767640045-27","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Tenue femme","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/tenue-femme-3763319"
"1767640045-28","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Vêtement couple","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/vetement-couple-3763302"
"1767640045-29","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-3763293"
"1767640045-30","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Tenue traditionnelle","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/tenue-traditionnelle-3763281"
"1767640045-31","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Tenue traditionnelle","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/tenue-traditionnelle-3763278"
"1767640045-32","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Boubou traditionnel","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/boubou-traditionnel-3763284"
"1767640045-33","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe d'été","8 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-dete-3798201"
"1767640045-34","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe d'été","8 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-dete-3798200"
"1767640045-35","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe d'été","8 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-dete-3798196"
"1767640045-36","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe d'été","8 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-dete-3798195"
"1767640045-37","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Robe d'été","8 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/robe-dete-3798194"
"1767640045-38","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Brodé Pirkha","30 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/brode-pirkha-3760293"
"1767640045-39","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Ensemble lingerie","15 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/ensemble-lingerie-3788604"
"1767640045-40","https://sn.coinafrique.com/categorie/vetements-femme?page=30","Hijab","20 000CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-femme/hijab-3788111"
