web_scraper_order,web_scraper_start_url,types_chaussures,Prix,adresse,image_lien
"1767637309-1","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","15 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3141945"
"1767637309-2","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","15 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3141944"
"1767637309-3","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","15 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3141942"
"1767637309-4","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Sandales Hermès","8 500CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/sandales-hermes-3140554"
"1767637309-5","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Sandales femme","4 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/sandales-femme-3140350"
"1767637309-6","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Baskets Balenciaga","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/baskets-balenciaga-3139228"
"1767637309-7","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","8 000CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3139124"
"1767637309-8","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","8 000CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3139122"
"1767637309-9","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures à talon","12 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-a-talon-3138999"
"1767637309-10","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures  femme","10 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3138991"
"1767637309-11","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-3137611"
"1767637309-12","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Sandales à talon femme","15 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/sandales-a-talon-femme-3136915"
"1767637309-13","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures à talon femme","15 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-a-talon-femme-3136907"
"1767637309-14","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","9 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3135131"
"1767637309-15","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","15 000CFA","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3134654"
"1767637309-16","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","4 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3134111"
"1767637309-17","https://sn.coinafrique.com/categorie/chaussures-femme?page=20","Chaussures femme","13 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-femme/chaussures-femme-3133012"
