web_scraper_order,web_scraper_start_url,types_chaussures,Prix,adresse,image_lien
"1767635906-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures Nike SB","35 000CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-sb-3899352"
"1767635906-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets Air Jordan 4 Retro","30 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-air-jordan-4-retro-3898324"
"1767635906-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures homme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-3898173"
"1767635906-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets homme","30 000CFA","Biscuiterie, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-homme-3897699"
"1767635906-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets Louis Vuitton Trainers","35 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-louis-vuitton-trainers-3897686"
"1767635906-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures enfant","20 000CFA","Colobane, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-enfant-3897394"
"1767635906-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures Air Jordan","15 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-air-jordan-3897365"
"1767635906-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures homme","15 000CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-3897311"
"1767635906-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Sandales Orthopédiques","10 000CFA","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-orthopediques-3896558"
"1767635906-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Sandales Orthopédiques","10 000CFA","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-orthopediques-3896532"
"1767635906-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets homme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-homme-3895368"
"1767635906-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures homme","7 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-3894148"
"1767635906-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets homme","11 000CFA","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-homme-3893552"
"1767635906-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets homme","15 000CFA","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-homme-3893541"
"1767635906-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Baskets Jordan 4","25 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-4-3893201"
"1767635906-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures homme","23 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-3893200"
"1767635906-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures orthopédique en cuir","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-orthopedique-en-cuir-3893033"
"1767635906-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures Jordan","20 000CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-jordan-3892864"
"1767635906-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures homme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-3892607"
"1767635906-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=50","Chaussures homme","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-3892604"
