web_scraper_order,web_scraper_start_url,type_habits,Prix,adresse,image_lien
"1767634842-1","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Pantalons homme","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/pantalons-homme-2336437"
"1767634842-2","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Costumes africains classiques","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/costumes-africains-classiques-2336015"
"1767634842-3","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Tshirt coton","2 000CFA","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/tshirt-coton-2335867"
"1767634842-4","https://sn.coinafrique.com/categorie/vetements-homme?page=110","T-shirt","3 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-2335271"
"1767634842-5","https://sn.coinafrique.com/categorie/vetements-homme?page=110","T-shirt","2 500CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-2335247"
"1767634842-6","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Ensemble short + t-shirt","10 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-t-shirt-2335074"
"1767634842-7","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Ensemble débardeur + short","10 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-debardeur-short-2335070"
"1767634842-8","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Débardeur + bonnet","6 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/debardeur-bonnet-2335062"
"1767634842-9","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Ensemble pantalon + t-shirt","12 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-pantalon-t-shirt-2335053"
"1767634842-10","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Tee-shirts","5 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/tee-shirts-2335045"
"1767634842-11","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Tee-shirts","4 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/tee-shirts-2335038"
"1767634842-12","https://sn.coinafrique.com/categorie/vetements-homme?page=110","Tee-shirts","4 000CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/tee-shirts-2335019"
